Date,State,Negative,Positive,Total Samples
17-04-2020,Andaman and Nicobar Islands,1210,12,1403
24-04-2020,Andaman and Nicobar Islands,,27,2679
27-04-2020,Andaman and Nicobar Islands,,33,2848
01-05-2020,Andaman and Nicobar Islands,,33,3754
16-05-2020,Andaman and Nicobar Islands,,33,6677
19-05-2020,Andaman and Nicobar Islands,,33,6965
20-05-2020,Andaman and Nicobar Islands,,33,7082
21-05-2020,Andaman and Nicobar Islands,,33,7167
22-05-2020,Andaman and Nicobar Islands,,33,7263
23-05-2020,Andaman and Nicobar Islands,,33,7327
24-05-2020,Andaman and Nicobar Islands,,33,7327
25-05-2020,Andaman and Nicobar Islands,,33,7363
26-05-2020,Andaman and Nicobar Islands,,33,7448
27-05-2020,Andaman and Nicobar Islands,,33,7499
28-05-2020,Andaman and Nicobar Islands,,33,7519
29-05-2020,Andaman and Nicobar Islands,,33,7567
30-05-2020,Andaman and Nicobar Islands,,33,7567
31-05-2020,Andaman and Nicobar Islands,,33,7706
01-06-2020,Andaman and Nicobar Islands,,33,7805
02-06-2020,Andaman and Nicobar Islands,,33,8086
03-06-2020,Andaman and Nicobar Islands,,33,8295
04-06-2020,Andaman and Nicobar Islands,,33,8413
05-06-2020,Andaman and Nicobar Islands,,33,8694
06-06-2020,Andaman and Nicobar Islands,,33,9037
07-06-2020,Andaman and Nicobar Islands,,33,9242
08-06-2020,Andaman and Nicobar Islands,,33,9341
09-06-2020,Andaman and Nicobar Islands,,33,9859
10-06-2020,Andaman and Nicobar Islands,,35,10010
11-06-2020,Andaman and Nicobar Islands,,38,10226
12-06-2020,Andaman and Nicobar Islands,,38,10697
02-04-2020,Andhra Pradesh,1175,132,1800
10-04-2020,Andhra Pradesh,6009,365,6374
11-04-2020,Andhra Pradesh,6577,381,6958
12-04-2020,Andhra Pradesh,6553,405,6958
13-04-2020,Andhra Pradesh,8323,432,8755
14-04-2020,Andhra Pradesh,10032,473,10505
15-04-2020,Andhra Pradesh,11088,525,11613
16-04-2020,Andhra Pradesh,19701,534,20235
17-04-2020,Andhra Pradesh,,572,20235
18-04-2020,Andhra Pradesh,20487,603,21450
19-04-2020,Andhra Pradesh,26311,647,26958
20-04-2020,Andhra Pradesh,30011,722,30733
21-04-2020,Andhra Pradesh,34998,757,35755
22-04-2020,Andhra Pradesh,40699,813,41512
23-04-2020,Andhra Pradesh,47139,893,48032
24-04-2020,Andhra Pradesh,53383,955,54338
25-04-2020,Andhra Pradesh,60250,1016,61266
26-04-2020,Andhra Pradesh,66937,1097,68034
27-04-2020,Andhra Pradesh,73374,1177,74551
28-04-2020,Andhra Pradesh,79075,1259,80334
29-04-2020,Andhra Pradesh,86729,1332,88061
30-04-2020,Andhra Pradesh,93155,1403,94558
01-05-2020,Andhra Pradesh,100997,1463,102460
02-05-2020,Andhra Pradesh,106878,1525,108403
03-05-2020,Andhra Pradesh,113354,1583,114937
04-05-2020,Andhra Pradesh,123579,1650,125229
05-05-2020,Andhra Pradesh,131775,1717,133492
06-05-2020,Andhra Pradesh,139497,1777,141274
07-05-2020,Andhra Pradesh,147528,1833,149361
08-05-2020,Andhra Pradesh,154794,1887,156681
09-05-2020,Andhra Pradesh,163139,1930,165069
10-05-2020,Andhra Pradesh,171755,1980,173735
11-05-2020,Andhra Pradesh,179126,2018,181144
12-05-2020,Andhra Pradesh,189823,2051,191874
13-05-2020,Andhra Pradesh,199059,2137,201196
14-05-2020,Andhra Pradesh,208247,2100,210452
15-05-2020,Andhra Pradesh,217183,2157,219490
17-05-2020,Andhra Pradesh,236618,2230,238998
18-05-2020,Andhra Pradesh,246279,2282,248771
19-05-2020,Andhra Pradesh,255961,2339,258450
20-05-2020,Andhra Pradesh,265052,2407,267612
